Rank;Track.Name;Artist.Name;Num.Artists;Genre;Beats.Per.Minute;Energy;Danceability;Loudness..dB..;Liveness;Valence.;Length.;Acousticness..;Speechiness.;Popularity
1;Señorita (ft. Camila Cabello);Shawn Mendes;2;canadian pop;117;55;76;-6;8;75;191;4;3;79
2;China (ft. Daddy Yankee & Ozuna & Karol G & J Balvin;Anuel AA;5;reggaeton flow;105;81;79;-4;8;61;302;8;9;92
3;boyfriend (with Social House);Ariana Grande;2;dance pop;190;80;40;-4;16;70;186;12;46;85
4;Beautiful People (feat. Khalid);Ed Sheeran;2;pop;93;65;64;-8;8;55;198;12;19;86
5;Goodbyes (Feat. Young Thug);Post Malone;2;dfw rap;150;65;58;-4;11;18;175;45;7;94
6;I Don't Care (with Justin Bieber);Ed Sheeran;2;pop;102;68;80;-5;9;84;220;9;4;84
7;Ransom;Lil Tecca;1;trap music;180;64;75;-6;7;23;131;2;29;92
8;How Do You Sleep?;Sam Smith;1;pop;111;68;48;-5;8;35;202;15;9;90
9;Old Town Road (ft. Billy Ray Cyrus);Lil Nas X;2;country rap;136;62;88;-6;11;64;157;5;10;87
10;bad guy;Billie Eilish;1;electropop;135;43;70;-11;10;56;194;33;38;95
11;Callaita;Bad Bunny;1;reggaeton;176;62;61;-5;24;24;251;60;31;93
12;Loco Contigo (feat. J. Balvin & Tyga);DJ Snake;2;dance pop;96;71;82;-4;15;38;185;28;7;86
13;Someone You Loved;Lewis Capaldi;1;pop;110;41;50;-6;11;45;182;75;3;88
14;Otro Trago - Remix (ft. Darell Nicky Jam & Ozuna & Anuel AA);Sech;4;panamanian pop;176;79;73;-2;6;76;288;7;20;87
15;Money In The Grave (ft. Rick Ross);Drake;2;canadian hip hop;101;50;83;-4;12;10;205;10;5;92
16;No Guidance (feat. Drake);Chris Brown;2;dance pop;93;45;70;-7;16;14;261;12;15;82
17;LA CANCIÓN (ft. Bad Bunny);J Balvin;2;latin;176;65;75;-6;11;43;243;15;32;90
18;Sunflower - Spider-Man: Into the Spider-Verse (ft. Swae Lee);Post Malone;2;dfw rap;90;48;76;-6;7;91;158;56;5;91
19;Lalala (ft. Bbno$);Y2K;2;canadian hip hop;130;39;84;-8;14;50;161;18;8;88
20;Truth Hurts;Lizzo;1;escape room;158;62;72;-3;12;41;173;11;11;91
21;Piece Of Your Heart (ft. Goodboys);MEDUZA;2;pop house;124;74;68;-7;7;63;153;4;3;91
22;Panini;Lil Nas X;1;country rap;154;59;70;-6;12;48;115;34;8;91
23;No Me Conoce - Remix (ft. J Balvin & Bad Bunny);Jhay Cortez;3;reggaeton flow;92;79;81;-4;9;58;309;14;7;83
24;Soltera - Remix (ft. Bad Bunny & Daddy Yankee);Lunay;3;latin;92;78;80;-4;44;80;266;36;4;91
25;bad guy (ft. Justin Bieber);Billie Eilish;2;electropop;135;45;67;-11;12;68;195;25;30;89
26;If I Can't Have You;Shawn Mendes;1;canadian pop;124;82;69;-4;13;87;191;49;6;70
27;Dance Monkey;Tones and I;1;australian pop;98;59;82;-6;18;54;210;69;10;83
28;It's You;Ali Gatie;1;canadian hip hop;96;46;73;-7;19;40;213;37;3;89
29;Con Calma (ft. Snow);Daddy Yankee;2;latin;94;86;74;-3;6;66;193;11;6;91
30;QUE PRETENDES (ft. Bad Bunny);J Balvin;2;latin;93;79;64;-4;36;94;222;3;25;89
31;Takeaway (ft. Illenium);The Chainsmokers;2;edm;85;51;29;-8;10;36;210;12;4;84
32;7 rings;Ariana Grande;1;dance pop;140;32;78;-11;9;33;179;59;33;89
33;11 PM;Maluma;1;reggaeton;96;71;78;-5;9;68;176;22;28;89
34;The London (feat. J. Cole & Travis Scott);Young Thug;3;atl hip hop;98;59;80;-7;13;18;200;2;15;89
35;Never Really Over;Katy Perry;1;dance pop;100;88;77;-5;32;39;224;19;6;89
36;Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy);Martin Garrix;3;big room;114;72;66;-7;14;32;164;18;6;89
37;Otro Trago (ft. Darell);Sech;2;panamanian pop;176;70;75;-5;11;62;226;14;34;91
38;Antisocial (with Travis Scott);Ed Sheeran;2;pop;152;82;72;-5;36;91;162;13;5;87
39;Sucker;Jonas Brothers;1;boy band;138;73;84;-5;11;95;181;4;6;80
40;fuck, I'm lonely (ft Anne-Marie);Lauv;2;dance pop;95;56;81;-6;6;68;199;48;7;78
41;Higher Love (ft. Whitney Houston);Kygo;2;edm;104;68;69;-7;10;40;228;2;3;88
42;You Need To Calm Down;Taylor Swift;1;dance pop;85;68;77;-6;7;73;171;1;5;90
43;Shallow (ft. Bradley Cooper);Lady Gaga;2;dance pop;96;39;57;-6;23;32;216;37;3;87
44;Talk;Khalid;1;pop;136;40;90;-9;6;35;198;5;13;84
45;Con Altura (ft. J Balvin);Rosalia;2;r&b en espanol;98;69;88;-4;5;75;162;39;12;88
46;One Thing Right (ft. Kane Brown);Marshmello;2;brostep;88;62;66;-2;58;44;182;7;5;88
47;Te Robaré (ft. Ozuna);Nicky Jam;2;latin;176;75;67;-4;8;80;202;24;6;88
48;Happier (ft. Bastille);Marshmello;2;brostep;100;79;69;-3;17;67;214;19;5;88
49;Call You Mine (ft. Bebe Rexha);The Chainsmokers;2;edm;104;70;59;-6;41;50;218;23;3;88
50;Cross Me (feat. Chance the Rapper & PnB Rock);Ed Sheeran;3;pop;95;79;75;-6;7;61;206;21;12;82
